package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
com.example.seniorshield.feature.policy.PolicyScreenPreview,PolicyScreenPreview,1,1,1,0,0,0,0,0,1,1,
com.example.seniorshield.feature.settings.SettingsContent,SettingsContent,1,0,1,0,0,0,0,0,1,1,
com.example.seniorshield.feature.settings.DebugPanel,DebugPanel,1,0,1,0,0,0,0,0,1,2,
com.example.seniorshield.feature.settings.SessionStateCard,SessionStateCard,1,0,1,0,0,0,0,0,3,3,
com.example.seniorshield.feature.settings.SessionRow,SessionRow,1,1,1,0,0,0,0,0,1,1,
com.example.seniorshield.feature.settings.TestModeToggleItem,TestModeToggleItem,1,1,1,0,0,0,0,0,1,2,
com.example.seniorshield.feature.settings.SettingsListItem,SettingsListItem,1,1,1,0,0,0,0,0,1,3,
com.example.seniorshield.feature.settings.SmsMenuToggleItem,SmsMenuToggleItem,1,1,1,0,0,0,0,0,1,3,
com.example.seniorshield.feature.settings.SettingsScreenPreview,SettingsScreenPreview,1,1,1,0,0,0,0,0,1,1,
com.example.seniorshield.feature.simulation.ScenarioCard,ScenarioCard,1,0,1,0,0,0,0,0,1,4,
com.example.seniorshield.feature.simulation.StepContent,StepContent,1,0,1,0,0,0,0,0,2,10,
com.example.seniorshield.feature.simulation.CompletionContent,CompletionContent,1,0,1,0,0,0,0,0,1,1,
com.example.seniorshield.feature.warning.WarningContent,WarningContent,1,0,1,0,0,0,0,0,2,3,
com.example.seniorshield.feature.warning.ContactSection,ContactSection,1,1,1,0,0,0,0,0,1,1,
com.example.seniorshield.feature.warning.WarningCard,WarningCard,1,1,1,0,0,0,0,0,2,3,
com.example.seniorshield.feature.warning.BehaviorCheckSection,BehaviorCheckSection,1,0,1,0,0,0,0,0,1,1,
com.example.seniorshield.feature.warning.BehaviorCheckItem,BehaviorCheckItem,1,1,1,0,0,0,0,0,1,1,
com.example.seniorshield.feature.warning.BehaviorAnswerButton,BehaviorAnswerButton,1,1,1,0,0,0,0,0,3,3,
com.example.seniorshield.feature.warning.Checklist,Checklist,1,1,1,0,0,0,0,0,1,1,
com.example.seniorshield.feature.warning.ChecklistItem,ChecklistItem,1,1,1,0,0,0,0,0,1,1,
com.example.seniorshield.feature.warning.InstitutionSection,InstitutionSection,1,1,1,0,0,0,0,0,1,1,
com.example.seniorshield.feature.warning.InstitutionCard,InstitutionCard,1,1,1,0,0,0,0,0,1,1,
com.example.seniorshield.feature.warning.GuardianPickerDialog,GuardianPickerDialog,1,0,1,0,0,0,0,0,1,1,
com.example.seniorshield.feature.warning.SmsGuardianPickerDialog,SmsGuardianPickerDialog,1,0,1,0,0,0,0,0,1,1,
com.example.seniorshield.feature.warning.WarningScreenPreview,WarningScreenPreview,1,1,1,0,0,0,0,0,1,1,
